serialNumber,price,builder,model,type,backWood,topWood
1,$200.00 ,Fender,Stratocaster,Electric,Indian Rosewood,Adirondack
2,$12.99 ,Martin,chinulon 3000,Acoustic,Brazilian Rosewood,Alder
3,$123.12 ,Gibson,foo,Electric,Mahogany,Indian Rosewood
4,$34.12 ,Collings,bar,Acoustic,Maple,Brazilian Rosewood
5,$100.00 ,Olson,foobar,Electric,Cocobolo,Mahogany
6,$432.13 ,Ryan,random model,Acoustic,Adirondack,Maple
7,$84.13 ,PRS,I know guitars,Electric,Alder,Cocobolo
8,$53.10 ,Fender,yep,Acoustic,Indian Rosewood,Adirondack
9,$99.10 ,Martin,totally,Electric,Brazilian Rosewood,Alder
10,$1.99 ,Gibson,one hundred,Acoustic,Mahogany,Indian Rosewood
11,$42.48 ,Collings,percent,Electric,Maple,Brazilian Rosewood
12,$17.47 ,Olson,mhm,Acoustic,Cocobolo,Mahogany
